view,order,theoretical_quantile,value
full,1,-1.7393841569195563,0.0134
full,2,-1.2450462387740626,0.0134
full,3,-0.94577708618932,0.0134
full,4,-0.7137046409102611,0.0134
full,5,-0.5149937648895112,0.0134
full,6,-0.33489417272961575,0.0159
full,7,-0.16511628036201545,0.022
full,8,0.0,0.0232
full,9,0.1651162803620153,0.0232
full,10,0.33489417272961586,0.0232
full,11,0.5149937648895112,0.0232
full,12,0.713704640910261,0.0232
full,13,0.94577708618932,0.0293
full,14,1.2450462387740626,0.0403
full,15,1.7393841569195554,0.6532
without_extreme,1,-1.70755309355966,0.0134
without_extreme,2,-1.2053449195375296,0.0134
without_extreme,3,-0.899434907667234,0.0134
without_extreme,4,-0.6607511271402553,0.0134
without_extreme,5,-0.45498114030642833,0.0134
without_extreme,6,-0.26699412540495254,0.0159
without_extreme,7,-0.08806556972409457,0.022
without_extreme,8,0.08806556972409457,0.0232
without_extreme,9,0.26699412540495254,0.0232
without_extreme,10,0.45498114030642833,0.0232
without_extreme,11,0.6607511271402553,0.0232
without_extreme,12,0.899434907667234,0.0232
without_extreme,13,1.205344919537529,0.0293
without_extreme,14,1.70755309355966,0.0403
